"sequence","species_id","species_name","pdb","prophage","modeller","uniprot","Identity","Coverage1","Coverage2","rank","kegg_hit","EC.x","uniref_hit","uniref_identity","uniref_bitScore","uniref_eVal","cazy_hits","kofam","refseq","swissprot","evalue","score","COG_category","Description","EC.y"
"SpeciesTaxid_1680.NC_008618.1_1","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_1.pdb.gz","NO","NO","A0ZZ99","99.8","99.8","100","B","chromosomal replication initiator protein",NA,"UniRef90_A0A076JFV9 Chromosomal replication initiator protein DnaA n=25 Tax=Bacteria TaxID=2 RepID=A0A076JFV9_BIFAD",0.95,998,0,"0","chromosomal replication initiator protein",NA,NA,0,959,"L","it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids","-"
"SpeciesTaxid_1680.NC_008618.1_2","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_2.pdb.gz","NO","NO","A0A076JEN5","100","99.7","100","B","DNA polymerase III subunit beta ","2.7.7.7","UniRef90_A0A076JEN5 Beta sliding clamp n=57 Tax=Terrabacteria group TaxID=1783272 RepID=A0A076JEN5_BIFAD",0.93,730,3.19e-235,"0","DNA polymerase III subunit beta [EC:2.7.7.7]",NA,NA,1.2e-259,712,"L","Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria","2.7.7.7"
"SpeciesTaxid_1680.NC_008618.1_3","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_3.pdb.gz","NO","NO","A0ZZA1","100","99.8","100","B","DNA replication and repair protein RecF",NA,"UniRef90_A0ZZA1 DNA replication and repair protein RecF n=34 Tax=Bifidobacterium TaxID=1678 RepID=RECF_BIFAA",0.938,794,8.4e-257,"0","DNA replication and repair protein RecF",NA,NA,7.82e-282,771,"L","it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP","-"
"SpeciesTaxid_1680.NC_008618.1_4","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_4.pdb.gz","NO","NO","A0A0C2VC07","100","99.4","100","C","",NA,"UniRef90_A0A0C2VC07 DUF721 domain-containing protein n=15 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2VC07_BIFAD",0.972,332,2.76e-101,"0",NA,"multispecies: duf721 domain-containing protein","upf0232 protein bl0636",1.79e-98,287,"S","Protein of unknown function (DUF721)","-"
"SpeciesTaxid_1680.NC_008618.1_5","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_5.pdb.gz","NO","YES","A0A1X3A4W6","98.4","99.9","100","B","DNA gyrase subunit B ","5.6.2.2","UniRef90_A0A0A7I038 DNA gyrase subunit B n=83 Tax=root TaxID=1 RepID=A0A0A7I038_9BIFI",0.918,1348,0,"0","topoisomerase IV subunit B [EC:5.6.2.2]",NA,NA,0,1359,"L","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner","5.99.1.3"
"SpeciesTaxid_1680.NC_008618.1_6","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_6.pdb.gz","NO","NO","R5GQF3","100","99.9","100","B","DNA gyrase subunit A ","5.6.2.2","UniRef90_UPI0012ABDECE DNA gyrase subunit A n=1 Tax=Bifidobacterium catenulatum TaxID=1686 RepID=UPI0012ABDECE",0.895,1687,0,"0","topoisomerase IV subunit A [EC:5.6.2.2]",NA,NA,0,1726,"L","A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner","5.99.1.3"
"SpeciesTaxid_1680.NC_008618.1_7","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_7.pdb.gz","NO","NO","A7A2X8","100","99.4","100","C","",NA,"UniRef90_A0A174C933 DUF3566 domain-containing protein n=12 Tax=Bifidobacterium TaxID=1678 RepID=A0A174C933_BIFAD",0.79,290,2.07e-86,"0",NA,"multispecies: duf3566 domain-containing protein",NA,1.4e-101,296,"S","Transmembrane domain of unknown function (DUF3566)","-"
"SpeciesTaxid_1680.NC_008618.1_8","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_8.pdb.gz","NO","NO","A0ZZA6","100","99.8","100","B","glutamate dehydrogenase (NADP+) ","1.4.1.4","UniRef90_A0A076JKD1 Glutamate dehydrogenase n=113 Tax=Terrabacteria group TaxID=1783272 RepID=A0A076JKD1_BIFAD",0.963,910,5.58e-296,"0","glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",NA,NA,0,890,"E","Belongs to the Glu Leu Phe Val dehydrogenases family","1.4.1.4"
"SpeciesTaxid_1680.NC_008618.1_9","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_9.pdb.gz","NO","NO","A0ZZA7","100","99.3","100","C","large conductance mechanosensitive channel",NA,"UniRef90_A0A1V8Q7Q0 Large-conductance mechanosensitive channel n=38 Tax=Bifidobacterium TaxID=1678 RepID=A0A1V8Q7Q0_9BIFI",0.813,244,2.8e-71,"0","large conductance mechanosensitive channel",NA,NA,1.35e-68,211,"M","Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell","-"
"SpeciesTaxid_1680.NC_008618.1_10","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_10.pdb.gz","NO","NO","A0A076JLD6","100","99.6","100","B","",NA,"UniRef90_A0A1X2YYA2 Metal-dependent hydrolase n=41 Tax=Bifidobacterium TaxID=1678 RepID=A0A1X2YYA2_BIFAD",0.947,466,3.04e-146,"0",NA,"m48 family metallopeptidase",NA,3.69e-165,462,"S","Protein of unknown function DUF45","-"
